_id,title,time,description,type,createdAt,updatedAt,__v
691be69fbcfe398e75f30532,Everyday Meditation,10 Min / day,Build a daily meditation habit with short 10-minute sessions.,recommended,2025-11-18 03:23:11.826,2025-11-18 03:23:11.826,0
691be6a5bcfe398e75f30534,Stay Hydrated,Daily,Drink enough water every day and keep track of your hydration goal.,recommended,2025-11-18 03:23:17.086,2025-11-18 03:23:17.086,0
691be6a9bcfe398e75f30536,Morning Stretch,5 Min / day,A quick 5-minute morning stretch to energize your day.,recommended,2025-11-18 03:23:21.534,2025-11-18 03:23:21.534,0
691be84abcfe398e75f30538,Everyday Meditation,10 Min / day,Build a daily meditation habit with short 10-minute sessions.,recommended,2025-11-18 03:30:18.181,2025-11-18 03:30:18.181,0
691be8d6bcfe398e75f3053a,Everyday Meditation,10 Min / day,Build a daily meditation habit with short 10-minute sessions.,recommended,2025-11-18 03:32:38.747,2025-11-18 03:32:38.747,0
691be8e7bcfe398e75f3053c,Everyday Meditation,10 Min / day,Build a daily meditation habit with short 10-minute sessions.,recommended,2025-11-18 03:32:55.298,2025-11-18 03:32:55.298,0
691be8f0bcfe398e75f3053e,Everyday Meditation,10 Min / day,Build a daily meditation habit with short 10-minute sessions.,recommended,2025-11-18 03:33:04.068,2025-11-18 03:33:04.068,0
691be961bcfe398e75f30540,Stay Hydrated,Daily,Drink enough water every day and keep track of your hydration goal.,recommended,2025-11-18 03:34:57.831,2025-11-18 03:34:57.831,0
691beb60bcfe398e75f30542,Everyday Meditation,10 Min / day,Build a daily meditation habit with short 10-minute sessions.,recommended,2025-11-18 03:43:28.196,2025-11-18 03:43:28.196,0
691beb74bcfe398e75f30544,Stay Hydrated,Daily,Drink enough water every day and keep track of your hydration goal.,recommended,2025-11-18 03:43:48.519,2025-11-18 03:43:48.519,0
691beb86bcfe398e75f30546,Morning Stretch,5 Min / day,A quick 5-minute morning stretch to energize your day.,recommended,2025-11-18 03:44:06.753,2025-11-18 03:44:06.753,0
691beb94bcfe398e75f30548,Morning Stretch,5 Min / day,A quick 5-minute morning stretch to energize your day.,recommended,2025-11-18 03:44:20.963,2025-11-18 03:44:20.963,0
