_id,user,challenge,streak,checkedInToday,lastNote,lastCheckInAt,createdAt,updatedAt,__v
691becc8bcfe398e75f30551,691bd77cefa539528202d43f,691beb60bcfe398e75f30542,2,True,done!,2025-11-29 02:53:04.816,2025-11-18 03:49:28.024,2025-11-29 02:53:04.820,0
691cb994628241907f8392ae,691bdbbbefa539528202d452,691beb60bcfe398e75f30542,1,True,Completed,2025-11-28 05:20:54.732,2025-11-18 18:23:16.797,2025-11-28 05:20:54.737,0
691d23244b3dbeba8040a912,691d21174b3dbeba8040a903,691beb60bcfe398e75f30542,1,True,1,2025-11-19 01:54:08.204,2025-11-19 01:53:40.421,2025-11-19 01:54:08.205,0
691d5f0eb03723ad4653205e,691d5eb5b03723ad4653204b,691beb60bcfe398e75f30542,1,True,db every day,2025-11-29 03:24:19.765,2025-11-19 06:09:18.304,2025-11-29 03:24:19.766,0
691dd88e485eb8cb133633ff,691dd7cc485eb8cb133633f0,691beb60bcfe398e75f30542,1,True,Stay clam,2025-12-01 16:15:48.127,2025-11-19 14:47:42.272,2025-12-01 16:15:48.128,0
6924fcaa40acd03320ac63aa,691ddb26485eb8cb13363452,691beb60bcfe398e75f30542,2,True,Done,2025-11-29 21:08:06.258,2025-11-25 00:47:38.090,2025-11-29 21:08:06.259,0
69290b9bce24aa5990747ade,691bd77cefa539528202d43f,691beb74bcfe398e75f30544,1,True,done!,2025-11-29 02:53:12.165,2025-11-28 02:40:27.746,2025-11-29 02:53:12.166,0
69290e986e6cad6909efec03,691bd77cefa539528202d43f,691beb94bcfe398e75f30548,2,True,yes,2025-11-29 22:32:32.452,2025-11-28 02:53:12.370,2025-11-29 22:32:32.452,0
69292ca941af6fe340c49339,691bdbbbefa539528202d452,691beb74bcfe398e75f30544,0,False,,,2025-11-28 05:01:29.725,2025-11-28 05:01:29.725,0
692a62e1cd091c1b038a22e1,691dd7cc485eb8cb133633f0,691beb74bcfe398e75f30544,1,True,It's important to stay hydrated.,2025-12-01 16:17:10.028,2025-11-29 03:05:05.121,2025-12-01 16:17:10.028,0
692a62e4cd091c1b038a22e6,691dd7cc485eb8cb133633f0,691beb94bcfe398e75f30548,1,True,Emmmm,2025-11-29 03:08:59.227,2025-11-29 03:05:08.007,2025-11-29 03:08:59.228,0
692b60a327a1acb508605426,691ddb26485eb8cb13363452,691beb74bcfe398e75f30544,1,True,Done,2025-11-29 21:08:20.417,2025-11-29 21:07:47.910,2025-11-29 21:08:20.418,0
692b60a627a1acb50860542b,691ddb26485eb8cb13363452,691beb94bcfe398e75f30548,1,True,Done,2025-11-29 21:08:25.331,2025-11-29 21:07:50.380,2025-11-29 21:08:25.332,0
692b614c27a1acb50860546b,692b610227a1acb508605452,691beb74bcfe398e75f30544,2,True,2cups,2025-12-01 03:45:31.718,2025-11-29 21:10:36.472,2025-12-01 03:45:31.725,0
692b70c3605b69e8eacd9b9f,692b7090605b69e8eacd9b64,691beb74bcfe398e75f30544,1,True,I drank 2 cups of water and a cup of coffee.,2025-11-29 22:17:24.837,2025-11-29 22:16:35.793,2025-11-29 22:17:24.837,0
692b70c7605b69e8eacd9ba4,692b7090605b69e8eacd9b64,691beb94bcfe398e75f30548,0,False,,,2025-11-29 22:16:39.278,2025-11-29 22:16:39.278,0
692b7296605b69e8eacd9c2f,692b71c5605b69e8eacd9c00,691beb94bcfe398e75f30548,1,True,I am very sore.,2025-11-29 22:24:58.682,2025-11-29 22:24:22.845,2025-11-29 22:24:58.683,0
692b7352605b69e8eacd9ca7,692b71c5605b69e8eacd9c00,691beb74bcfe398e75f30544,0,False,,,2025-11-29 22:27:30.400,2025-11-29 22:27:30.400,0
692b74b3605b69e8eacd9d46,692b749f605b69e8eacd9d2e,691beb74bcfe398e75f30544,1,True,hey,2025-11-29 22:33:43.157,2025-11-29 22:33:23.738,2025-11-29 22:33:43.158,0
